RepoName;TravisFullPath;TravisFileGitURL
feedzai/feedzai-openml;D:/PhD Work/repos/applied/feedzai/feedzai-openml/.travis.yml;https://github.com/feedzai/feedzai-openml/blob/master/.travis.yml
lopuhin/transformer-lm;D:/PhD Work/repos/applied/lopuhin/transformer-lm/.travis.yml;https://github.com/lopuhin/transformer-lm/blob/master/.travis.yml
rajveermalviya/language-modeling;D:/PhD Work/repos/applied/rajveermalviya/language-modeling/.travis.yml;https://github.com/rajveermalviya/language-modeling/blob/master/.travis.yml
poldracklab/mriqc;D:/PhD Work/repos/applied/poldracklab/mriqc/.travis.yml;https://github.com/poldracklab/mriqc/blob/master/.travis.yml
philgooch/abbreviation-extraction;D:/PhD Work/repos/applied/philgooch/abbreviation-extraction/.travis.yml;https://github.com/philgooch/abbreviation-extraction/blob/master/.travis.yml
jupyter/dashboards;D:/PhD Work/repos/applied/jupyter/dashboards/.travis.yml;https://github.com/jupyter/dashboards/blob/master/.travis.yml
soaxelbrooke/python-bpe;D:/PhD Work/repos/applied/soaxelbrooke/python-bpe/.travis.yml;https://github.com/soaxelbrooke/python-bpe/blob/master/.travis.yml
niiknow/bayes;D:/PhD Work/repos/applied/niiknow/bayes/.travis.yml;https://github.com/niiknow/bayes/blob/master/.travis.yml
jerrygaoLondon/jgtextrank;D:/PhD Work/repos/applied/jerrygaoLondon/jgtextrank/.travis.yml;https://github.com/jerrygaoLondon/jgtextrank/blob/master/.travis.yml
OpenNMT/OpenNMT-py;D:/PhD Work/repos/applied/OpenNMT/OpenNMT-py/.travis.yml;https://github.com/OpenNMT/OpenNMT-py/blob/master/.travis.yml
rgal/gym-2048;D:/PhD Work/repos/applied/rgal/gym-2048/.travis.yml;https://github.com/rgal/gym-2048/blob/master/.travis.yml
nert-nlp/streusle;D:/PhD Work/repos/applied/nert-nlp/streusle/.travis.yml;https://github.com/nert-nlp/streusle/blob/master/.travis.yml
HDI-Project/ATM;D:/PhD Work/repos/applied/HDI-Project/ATM/.travis.yml;https://github.com/HDI-Project/ATM/blob/master/.travis.yml
