name,num
round of,"[11.363360069259983, 0.0003795664059503091, 0.004313149741008267]"
npm install,"[3.983809048690027, 0.0010821680510072643, 0.00431115087380599]"
scriptscheckformatsh travispullrequestbranch,"[11.355706496716548, 0.0003795664059503091, 0.004310244701985276]"
tags true,"[6.695280099889143, 0.000637994597235626, 0.004271552530708475]"
true tags,"[6.695280099889143, 0.000637994597235626, 0.004271552530708475]"
python m,"[7.389590441555665, 0.0005774254899031298, 0.004266937880898765]"
https rawgithubusercontentcomgiovannibussimacportscimastermacportsci,"[7.382673544316816, 0.0005774254899031298, 0.004262943888122013]"
lo https,"[7.382673544316816, 0.0005774254899031298, 0.004262943888122013]"
srcshogun capture,"[11.183239300711783, 0.0003795664059503091, 0.004244781948253419]"
email onsuccess,"[7.983781585786474, 0.0005309891742815494, 0.004239301591880999]"
dcmakeinstallprefix homeshogunbuild,"[11.149764596160693, 0.0003795664059503091, 0.004232076074956714]"
ccompilerclang osximage,"[7.266684668791996, 0.0005794444601475464, 0.00421064017497063]"
studio2017buildtoolsmsbuild150bin fastfinish,"[9.504320991913445, 0.0004421544835272218, 0.004202378139456422]"
true include,"[4.800411537226854, 0.0008742141158323608, 0.004196587527648238]"
directories homelibrarycacheshomebrew,"[9.318978463465449, 0.00045023036450488795, 0.0041956870704192495]"
cc ccompile,"[8.17816831116436, 0.0005128184420818006, 0.004193915532414057]"
if installtest,"[4.738195302127199, 0.0008843089670544436, 0.0041900285933263205]"
necho travisfold,"[7.254835612481813, 0.0005774254899031298, 0.004189127007703983]"
doxygen llvm,"[9.428806625319826, 0.0004421544835272218, 0.004168989123696335]"
path usrlocaloptccachelibexec,"[6.840983550199564, 0.0006077100435693778, 0.004157334411349174]"
true language,"[4.332786122691829, 0.0009549729256090224, 0.004137693439625188]"
c program,"[7.341464574140769, 0.0005632926981922141, 0.0041353933886503075]"
dcmakebuildtypedebug denablecoverageon,"[10.873554801579168, 0.0003795664059503091, 0.004127236115939131]"
clingbuildflags clingbuildflags,"[7.143367740044024, 0.0005774254899031298, 0.004124762616853133]"
git remote,"[7.123533054587515, 0.0005774254899031298, 0.004113309563886334]"
mastern git,"[7.123533054587515, 0.0005774254899031298, 0.004113309563886334]"
for file,"[8.042748101914913, 0.0005087805015929675, 0.004091993413478157]"
homeccache rootccache,"[10.753041994261933, 0.0003795664059503091, 0.004081493502794746]"
install ccache,"[3.369247402602099, 0.0012073442061610897, 0.004067841330654944]"
skipjoin true,"[6.775203644186089, 0.0005996341625917117, 0.004062643563569839]"
exit 1,"[8.12595562841663, 0.0004986856503708849, 0.004052297467441899]"
required env,"[4.1078560634572305, 0.0009852574792752705, 0.004047295910307507]"
directory srcshogun,"[10.655854075567442, 0.0003795664059503091, 0.004044604233794087]"
scanecho beforeinstall,"[6.7275069021547935, 0.0005996341625917117, 0.00403404296760355]"
p envfile,"[10.547261514130403, 0.0003795664059503091, 0.004003386145536492]"
ls hometravisccache,"[9.050670181227957, 0.0004421544835272218, 0.004001794399556074]"
ldflags lusrlocaloptllvmlib,"[11.410154280738924, 0.0003472628820396445, 0.003962323060046386]"
packages g6,"[7.370416523811691, 0.000537046085014799, 0.003958253339041453]"
homelibrarycacheshomebrew beforecache,"[9.466087642331196, 0.0004159078703498068, 0.003937020351866592]"
env compilerclang,"[5.19789224515408, 0.0007571138416562017, 0.003935396166243585]"
configsshogunsdktravisenvin travisenv,"[10.363360069259983, 0.0003795664059503091, 0.003933583335057958]"
envfile travisenv,"[10.363360069259983, 0.0003795664059503091, 0.003933583335057958]"
shogunshogundev perl,"[10.363360069259983, 0.0003795664059503091, 0.003933583335057958]"
usrlibccachebin usrlocaloptccachelibexec,"[9.404288390316733, 0.0004159078703498068, 0.003911317556572045]"
openmpflag cppcheck,"[6.496936065158394, 0.0005996341625917117, 0.003895784816843144]"
sudo ldconfig,"[5.607194148722307, 0.000694525764079289, 0.0038943408004822786]"
bzip2 brew,"[6.478637459118772, 0.0005996341625917117, 0.00388481234753398]"
icu4c brew,"[6.478637459118772, 0.0005996341625917117, 0.00388481234753398]"
libtar brew,"[6.478637459118772, 0.0005996341625917117, 0.00388481234753398]"
libxml2 brew,"[6.478637459118772, 0.0005996341625917117, 0.00388481234753398]"
zlib brew,"[6.478637459118772, 0.0005996341625917117, 0.00388481234753398]"
clone https,"[5.021359620902533, 0.000773265603611534, 0.003882844678207781]"
zlib1gdev libtardev,"[9.798703391408846, 0.0003957181679056414, 0.0038775249538991036]"
clang cache,"[4.728817227871506, 0.0008197019192331144, 0.003876220557388889]"
nfin if,"[4.3933408103903275, 0.0008822899968100271, 0.0038762006495846437]"
sources llvmtoolchaintrusty39,"[8.080320987766214, 0.00047849594792671944, 0.0038664008505933604]"
libhaliteviz npm,"[8.665283488487372, 0.00044619242401605484, 0.0038663838445144763]"
pathvendorbundle npm,"[8.665283488487372, 0.00044619242401605484, 0.0038663838445144763]"
false language,"[5.184878606903084, 0.000742981049945286, 0.0038522665511957046]"
madararootlib gamsrootlib,"[11.551626706691803, 0.0003331300903287287, 0.003848194448243995]"
popd sudo,"[5.537603876537233, 0.000694525764079289, 0.0038460085635204544]"
usr coverageinfo,"[10.121822993995085, 0.0003795664059503091, 0.0038419039754959113]"
lcov remove,"[8.92090862238792, 0.00043004066206072257, 0.0038363534501549093]"
ldconfig wget,"[8.836864992249986, 0.0004340786025495556, 0.003835894006754963]"
cxxflags iusrlocaloptllvminclude,"[11.041431974372621, 0.0003472628820396445, 0.0038342794892653183]"
file in,"[7.513516921814045, 0.0005087805015929675, 0.0038227309082077988]"
in file,"[7.513516921814045, 0.0005087805015929675, 0.0038227309082077988]"
xcode osximage,"[8.15147712954845, 0.0004684010967046368, 0.0038181608272432584]"
ccompile cxx,"[7.441202716998152, 0.0005128184420818006, 0.003815985984545854]"
run build,"[5.95077928389723, 0.0006359756269912094, 0.0037845505861628407]"
git push,"[6.538570553866357, 0.0005774254899031298, 0.00377553730533246]"
travispullrequestbranch travisbranch,"[9.941628555198978, 0.0003795664059503091, 0.0037735082199898402]"
simtime simtime,"[8.492733017638237, 0.00044417345377163834, 0.003772246556404804]"
channels ircfreenodeorg,"[9.929264234165455, 0.0003795664059503091, 0.00376881513909313]"
drinks for,"[9.898358192579739, 0.0003795664059503091, 0.003757084243966289]"
required language,"[5.503879440823098, 0.0006824119426127898, 0.0037559130611186857]"
export ldlibrarypath,"[4.9066891605369065, 0.0007651897226338678, 0.003754548117801841]"
beforeinstall curl,"[6.499360953588049, 0.0005774254899031298, 0.003752896682682852]"
beforeinstall if,"[3.5645615710309286, 0.0010458265866077666, 0.0037279132605844943]"
llvmtoolchaintrusty39 packages,"[7.774565706947797, 0.00047849594792671944, 0.0037200981876645517]"
