RepoName;GitHubLanguages
bakwc/JamSpell;C++,Python,C,CMake,SWIG,Shell
rai-project/tensorflow;Go,Shell,Python,Makefile,HTML
rdk/p2rank;Groovy,Java,Shell,Tcl,Batchfile
jtablesaw/tablesaw;Java,HTML,Shell
medtagger/MedTagger;Python,TypeScript,HTML,SCSS,JavaScript,Makefile,HCL,Shell,Dockerfile,Smarty,Mako
sekia/Algorithm-LibLinear;C++,Perl,C,XS
DeepMLNet/DeepNet;F#,Cuda,Python,PowerShell,C#,Shell,Batchfile,HTML
FidoProject/Fido;C++,Makefile,Batchfile,C,Shell
bakercp/ofxDlib;C++,Shell,Makefile
lang-ai/langai-node;TypeScript
azu/nlp-pattern-match;TypeScript,JavaScript
baidu/Familia;C++,Python,Makefile,Shell,Dockerfile
RaRe-Technologies/gensim;Python,Shell,C++,Jupyter Notebook,C,GDB
BVLC/caffe;C++,Python,Cuda,CMake,MATLAB,Makefile,Shell,Dockerfile
MaxHalford/prince;Python,R
antoinecarme/pyaf;Python,Makefile,Shell,R
elki-project/elki;Java,Python,GLSL,Batchfile,Shell
scikit-learn-contrib/imbalanced-learn;Python,Shell,TeX,Batchfile,Makefile
usnistgov/jarvis;Python,AMPL,Nix,Shell
funkey/gunpowder;Python,Dockerfile,Makefile
thu-ml/zhusuan;Python
tlverse/tmle3;R,Makefile,TeX
vzhong/embeddings;Python,Dockerfile,Shell
Robbepop/prophet;Rust
fukuball/jieba-php;PHP
abadojack/whatlanggo;Go
nickgillian/grt;C++,Python,Processing,Groovy,CMake,QMake,HTML,Makefile,Shell
yzhao062/pyod;Python,Jupyter Notebook
pfnet-research/menoh-ruby;C,Ruby,Dockerfile,Shell
shi510/mlfe;C++,Cuda,CMake,Dockerfile,C,Python,Shell
proycon/pynlpl;Python,Shell,C++
alfredfrancis/ai-chatbot-framework;Python,TypeScript,HTML,JavaScript,CSS,Dockerfile,Makefile
torchgan/torchgan;Python,Jupyter Notebook
eantcal/nunn;C++,Inno Setup,CMake,Shell
openml/openml-r;Jupyter Notebook,R,Rebol
feedly/transfer-nlp;Python,Shell
EducationalTestingService/skll;Python,PowerShell
TechPrimers/core-nlp-example;Java
jpuigcerver/Laia;Shell,Lua,Perl,Python,R,Dockerfile
openml/openml-tutorial;HTML,Jupyter Notebook,JavaScript,CSS,Smarty
openvenues/libpostal;C,Python,C++,Shell,M4,Makefile
versilov/matrex;Elixir,C,Jupyter Notebook,Makefile,Python
MisaOgura/flashtorch;HTML,Jupyter Notebook,Python,CSS
rai-project/caffe;Go,Makefile,Shell
LearnLib/learnlib;Java,Python,Shell,HTML
morinim/vita;C++,Python,MQL5,CMake,Emacs Lisp,C
wq2012/SimpleDER;Python,Shell
modAL-python/modAL;Python,Shell
SGpp/SGpp;C++,Python,SWIG,C,Shell,PostScript,R,Java,Cuda,MATLAB,TeX,CSS,Makefile,CMake
openml/openml-python;Python,Batchfile,Shell,Dockerfile,Makefile
Tw1ddle/needs-ai-lib;Haxe,CSS,JavaScript,Shell,Batchfile
jnbraun/bcnn;C,C++,Cuda,Assembly,CMake
mlpack/ensmallen;C++,CMake,Shell
skorch-dev/skorch;Python,Jupyter Notebook,Shell,Dockerfile
