ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
tensorflow/cleverhans,Tool,2018-08-07,2019-08-08,328,599,73,5
ecohealthalliance/EpiTator,Tool,2018-07-03,2019-07-04,453,1089,83,3
Jopepato/SMiLE,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
rsokl/MyGrad,Tool,2018-08-09,2019-08-10,984,686,40,5
chakki-works/seqeval,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
alan-turing-institute/skpro,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
NIHOPA/NLPre,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
biolab/orange3-educational,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
ClarityNLP/ClarityNLP,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-learn/scikit-learn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
nielstron/quantulum3,Tool,2018-08-07,2019-08-08,799,1308,255,71
chainer/chainer,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
vzhou842/profanity-check,Tool,2018-02-10,2019-02-11,58,867,4,11
pytorch/vision,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raamana/neuropredict,Tool,2018-01-31,2019-02-01,301,1067,66,4
nlgranger/SeqTools,Tool,2017-10-26,2018-10-27,187,1265,40,12
google/uis-rnn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
antoinecarme/pyaf,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Rostlab/nalaf,Tool,2018-05-25,2019-05-26,262,1700,0,9
gosha20777/keras2cpp,Tool,2018-02-01,2019-02-02,57,836,9,26
SekouD/mlconjug,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
datamade/usaddress,Tool,2016-03-07,2017-03-08,70,1225,51,2
scikit-multiflow/scikit-multiflow,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kundajelab/dragonn,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
MaxHalford/prince,Tool,2018-02-02,2019-02-03,211,1634,60,7
explosion/spaCy,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
RasaHQ/rasa_core,Tool,2017-05-04,2018-05-05,293,16,385,17
inspirehep/magpie,Tool,2017-09-28,2018-09-29,179,1318,20,18
goulu/Goulib,Tool,2018-04-26,2019-04-27,215,1464,59,40
fastnlp/fastNLP,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
feedly/transfer-nlp,Tool,2018-08-02,2019-08-03,441,401,34,37
scikit-learn-contrib/hdbscan,Tool,2018-05-14,2019-05-15,508,1692,88,10
bhargavvader/pycobra,Tool,2017-12-25,2018-12-26,191,1045,26,34
gunthercox/ChatterBot,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
vertexclique/orkhon,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
jfilter/text-classification-keras,Tool,2017-10-31,2018-11-01,162,736,104,53
