ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
alvations/sacremoses,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
imgarylai/bert-embedding,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
braincreators/octconv,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
alvations/pywsd,Applied,2017-03-14,2018-03-15,113,1817,168,36
geomstats/geomstats,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
kpe/bert-for-tf2,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
wzpan/wukong-robot,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
kymatio/kymatio,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-Audio-Embedding-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
zuoxingdong/lagom,Applied,2017-07-18,2018-07-19,663,588,9,4
esowc/ml_drought,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
google/tangent,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
wesselb/stheno,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
criteo/tf-yarn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
IBM/MAX-News-Text-Generator,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nicodv/kmodes,Applied,2016-08-19,2017-08-20,194,1674,36,4
alvinwan/timefhuman,Applied,2017-08-06,2018-08-07,44,566,7,2
ikegami-yukino/pymlask,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
loli/medpy,Applied,2016-12-11,2017-12-12,148,1005,19,35
maxpumperla/elephas,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
JoergFranke/ADNC,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
nlppln/nlppln,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
BloodAxe/pytorch-toolbelt,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
ikegami-yukino/neologdn,Tool,2017-03-01,2018-03-02,62,1644,14,2
neka-nat/tensorboard-chainer,Tool,2016-12-03,2017-12-04,89,996,30,14
vecxoz/vecstack,Tool,2017-02-27,2018-02-28,51,929,0,0
innodatalabs/tbert,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
sintefneodroid/neo,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
EducationalTestingService/rsmtool,Tool,2017-08-02,2018-08-03,1728,1200,22,14
nerox8664/gluon2pytorch,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
pymc-learn/pymc-learn,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
wkentaro/chainer-cyclegan,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
shineware/PyKOMORAN,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
snipsco/snips-nlu-metrics,Applied,2017-07-25,2018-07-26,327,1203,10,0
verifid/mocr,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
cosanlab/nltools,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
scikit-optimize/scikit-optimize,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
bigartm/bigartm,Applied,NoneFound,NoneFound,NoneFound,0,0,0,0
fcurella/django-recommends,Applied,2016-03-27,2017-03-28,73,1650,49,10
astorfi/3D-convolutional-speaker-recognition,Applied,2016-09-19,2017-09-20,42,962,14,0
guokr/Caver,Tool,2017-07-25,2018-07-26,91,320,0,0
MisaOgura/flashtorch,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
modAL-python/modAL,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
chainer/chainercv,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
neuronets/nobrainer,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
iamDecode/sklearn-pmml-model,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
NVIDIA/DIGITS,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
r9y9/nnmnkwii,Tool,2017-01-18,2018-01-19,476,1378,47,21
stanfordnlp/stanfordnlp,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
raviqqe/tensorflow-qnd,Tool,2016-05-20,2017-05-21,326,850,44,12
torchgan/torchgan,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
Mariewelt/OpenChem,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
reiinakano/scikit-plot,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
onnx/onnx-tensorflow,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
PetrochukM/PyTorch-NLP,Tool,2017-06-02,2018-06-03,484,1135,46,8
clips/pattern,Tool,2017-06-19,2018-06-20,254,1454,159,98
Maluuba/nlg-eval,Tool,2017-07-26,2018-07-27,149,1051,34,22
pytorch/ignite,Tool,NoneFound,NoneFound,NoneFound,0,0,0,0
