ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
neuronets/nobrainer,Tool,2020-05-07,2021-05-08,472,792,48,1
iamDecode/sklearn-pmml-model,Tool,2020-06-05,2021-06-06,101,493,12,2
NVIDIA/DIGITS,Tool,2019-06-14,2020-06-14,279,1141,4,15
r9y9/nnmnkwii,Tool,2020-05-24,2021-05-25,476,1378,24,8
raviqqe/tensorflow-qnd,Tool,2018-04-19,2019-04-20,326,850,0,0
torchgan/torchgan,Tool,2020-03-21,2021-03-22,621,889,2,4
Mariewelt/OpenChem,Tool,2018-04-17,2019-04-18,16,56,0,0
reiinakano/scikit-plot,Tool,2020-02-27,2021-02-27,341,1471,0,15
Maluuba/nlg-eval,Tool,2020-05-06,2021-05-07,87,1020,0,3
pytorch/ignite,Tool,2019-11-26,2020-11-26,5307,1094,200,30
yxonic/fret,Tool,2019-11-26,2020-11-26,202,716,66,10
CrowdTruth/CrowdTruth-core,Tool,2020-04-13,2021-04-14,142,973,0,0
tensorflow/cleverhans,Tool,2019-12-10,2020-12-10,328,599,6,4
rsokl/MyGrad,Tool,2019-12-21,2020-12-21,984,686,195,16
chakki-works/seqeval,Tool,2019-11-11,2020-11-11,152,526,0,6
alan-turing-institute/skpro,Tool,2019-04-08,2020-04-08,52,851,8,0
ClarityNLP/ClarityNLP,Tool,2020-08-05,2021-08-06,1589,1344,0,0
scikit-learn/scikit-learn,Tool,2019-11-04,2020-11-04,421,252,374,204
nielstron/quantulum3,Tool,2020-05-17,2021-05-18,799,1308,188,38
vzhou842/profanity-check,Tool,2020-05-14,2021-05-15,58,867,9,4
nlgranger/SeqTools,Tool,2019-12-18,2020-12-18,204,1274,64,8
google/uis-rnn,Tool,2019-08-29,2020-08-29,102,612,13,1
antoinecarme/pyaf,Tool,2020-06-15,2021-06-16,372,319,15,35
Rostlab/nalaf,Tool,2020-06-02,2021-06-03,262,1700,6,1
gosha20777/keras2cpp,Tool,2020-05-17,2021-05-18,57,836,0,1
datamade/usaddress,Tool,2019-02-08,2020-02-09,70,1225,0,6
kundajelab/dragonn,Tool,2019-10-10,2020-10-10,378,1533,0,26
RasaHQ/rasa_core,Tool,2018-06-05,2019-06-06,5357,396,4013,383
inspirehep/magpie,Tool,2019-04-09,2020-04-09,179,1318,6,9
goulu/Goulib,Tool,2019-09-02,2020-09-02,215,1464,31,23
fastnlp/fastNLP,Tool,2020-06-12,2021-06-13,97,272,26,2
feedly/transfer-nlp,Tool,2019-05-29,2020-05-29,441,401,30,5
scikit-learn-contrib/hdbscan,Tool,2020-04-07,2021-04-08,508,1692,37,52
bhargavvader/pycobra,Tool,2019-05-19,2020-05-19,191,1045,0,0
jfilter/text-classification-keras,Tool,2019-06-25,2020-06-25,162,736,3,1
1adrianb/face-alignment,Tool,2019-12-20,2020-12-20,87,801,27,21
bmcfee/muda,Tool,2020-05-03,2021-05-04,134,1718,14,36
proycon/foliapy,Tool,2020-03-25,2021-03-26,404,930,73,2
RaRe-Technologies/gensim,Tool,2020-01-18,2021-01-18,7826,1896,688,103
OlafenwaMoses/ImageAI,Tool,2020-04-11,2021-04-12,149,942,15,2
flennerhag/mlens,Tool,2019-02-25,2020-02-26,640,1139,0,0
proycon/pynlpl,Tool,2018-03-13,2019-03-14,195,952,21,1
alfredfrancis/ai-chatbot-framework,Tool,2019-12-31,2020-12-31,264,1163,0,25
BehaviorTree/BehaviorTree.CPP,Tool,2020-04-01,2021-04-02,656,897,187,6
DeNA/ChainerPruner,Tool,2018-10-07,2019-10-08,58,117,12,8
chakki-works/sumeval,Tool,2020-02-20,2021-02-20,20,626,0,0
dssg/triage,Tool,2017-10-16,2018-10-17,359,203,97,13
jmaggio14/imagepypelines,Tool,2017-09-25,2018-09-26,3,0,0,0
thehyve/tmtk,Tool,2019-08-01,2020-08-01,664,1179,85,17
amzn/xfer,Tool,2020-04-13,2021-04-14,699,1301,39,50
BIMSBbioinfo/maui,Tool,2020-04-09,2021-04-10,23,585,0,0
CPJKU/madmom,Tool,2019-04-15,2020-04-15,980,1008,95,87
kakao/n2,Tool,2020-05-20,2021-05-21,62,1266,0,0
JohnVinyard/zounds,Tool,2019-03-06,2020-03-06,469,1315,2,5
ysig/GraKeL,Tool,2020-04-29,2021-04-30,717,1265,98,38
proycon/colibri-core,Tool,2019-05-07,2020-05-07,103,1373,0,3
Thenerdstation/mltest,Tool,2018-10-21,2019-10-22,61,626,8,0
chainer/chainerrl,Tool,2020-04-17,2021-04-18,977,847,14,18
Kitware/SMQTK,Tool,2019-12-04,2020-12-04,461,1017,115,0
vzhong/embeddings,Tool,2019-02-11,2020-02-12,28,991,0,1
DynaSlum/satsense,Tool,2018-03-18,2019-03-19,202,248,252,25
SmartDataAnalytics/BioKEEN,Tool,2019-08-02,2020-08-02,279,668,10,7
DigitalSlideArchive/HistomicsTK,Tool,2020-01-05,2021-01-05,4755,1629,1025,379
jmschrei/pomegranate,Tool,2020-01-02,2021-01-02,471,1048,395,72
plstcharles/thelper,Tool,2020-01-19,2021-01-19,289,837,31,63
majianjia/nnom,Tool,2019-10-31,2020-10-31,521,595,38,23
yasserfarouk/negmas,Tool,2019-03-18,2020-03-18,785,371,0,95
TeamHG-Memex/eli5,Tool,2020-04-03,2021-04-04,41,425,147,44
wq2012/SimpleDER,Tool,2019-11-20,2020-11-20,22,662,0,0
yzhao062/pyod,Tool,2020-07-27,2021-07-28,888,615,56,22
Aifred-Health/Vulcan,Tool,2018-11-20,2019-11-21,212,294,37,15
SPFlow/SPFlow,Tool,2019-06-08,2020-06-08,195,551,12,14
ageitgey/face_recognition,Tool,2019-02-20,2020-02-21,351,1080,55,24
chartbeat-labs/textacy,Tool,2019-08-15,2020-08-15,1041,1188,144,65
comic/grand-challenge.org,Tool,2019-01-25,2020-01-26,105,3,41,7
ibayer/fastFM,Tool,2020-03-24,2021-03-25,281,1623,9,9
iterative/dvc,Tool,2017-12-31,2019-01-01,160,25,216,72
mideind/Icegrams,Tool,2019-10-16,2020-10-16,43,587,1,1
openeventdata/mordecai,Tool,2018-01-15,2019-01-16,62,434,22,3
perone/medicaltorch,Tool,2017-04-18,2018-04-19,3,0,0,0
rasbt/mlxtend,Tool,2020-05-09,2021-05-10,1840,1753,34,23
ray-project/ray,Tool,2017-05-29,2018-05-30,265,11,350,165
rtavenar/tslearn,Tool,2019-05-01,2020-05-01,121,32,156,3
tensorflow/addons,Tool,2019-01-26,2020-01-27,240,231,80,3
DragonComputer/Dragonfire,Applied,2018-12-01,2019-12-02,502,772,16,17
HIT-SCIR/ltp,Tool,2019-11-10,2020-11-10,140,1571,0,36
IBM/MAX-Breast-Cancer-Mitosis-Detector,Applied,2020-06-10,2021-06-11,371,1309,0,1
IBM/MAX-Fast-Neural-Style-Transfer,Applied,2020-05-11,2021-05-12,344,1119,0,0
IBM/MAX-Image-Segmenter,Applied,2020-03-18,2021-03-19,432,1320,0,35
IBM/MAX-Inception-ResNet-v2,Applied,2020-06-02,2021-06-03,381,1115,0,1
IBM/MAX-Review-Text-Generator,Applied,2020-04-19,2021-04-20,351,1131,0,0
IBM/MAX-Scene-Classifier,Applied,2020-04-29,2021-04-30,361,1114,0,2
IBM/MAX-Sports-Video-Classifier,Applied,2020-05-13,2021-05-14,378,1121,0,0
IBM/mi-prometheus,Tool,2018-07-19,2019-07-20,121,1127,4,4
IBM/tensorflow-kubernetes-art-classification,Applied,2019-03-27,2020-03-27,341,370,335,0
PIQuIL/QuCumber,Applied,2020-06-01,2021-06-02,1212,1050,12,0
ParallelDots/ParallelDots-Python-API,Tool,2017-04-14,2018-04-15,60,423,59,8
PingjunChen/pyslide,Applied,2018-02-20,2019-02-21,62,474,0,0
PistonY/ResidualAttentionNetwork,Applied,2018-04-02,2019-04-03,4,0,0,0
RomanovMikeV/setka,Applied,2019-12-10,2020-12-10,297,675,23,1
WLM1ke/poptimizer,Applied,2018-09-15,2019-09-16,289,285,148,5
WenjieZ/TSCV,Tool,2020-06-07,2021-06-08,114,303,4,7
XanaduAI/pennylane-pq,Applied,2019-05-14,2020-05-14,215,547,99,24
XanaduAI/pennylane-sf,Applied,2019-07-09,2020-07-09,291,604,79,27
aiqm/torchani,Applied,2017-10-30,2018-10-31,14,0,0,0
alan-turing-institute/sktime,Tool,2019-11-20,2020-11-20,2066,609,861,92
aldro61/mmit,Applied,2019-02-13,2020-02-14,574,1064,26,41
alephdata/fingerprints,Applied,2018-08-18,2019-08-19,29,717,6,0
amdegroot/ssd.pytorch,Applied,2016-04-10,2017-04-11,7,4,0,0
amirziai/sklearnflask,Applied,2017-02-18,2018-02-19,9,228,0,0
andrew-houghton/moon-board-climbing,Applied,2018-05-19,2019-05-20,10,0,0,0
biocore/calour,Applied,2019-01-02,2020-01-03,400,1129,47,9
brendanhasz/probflow,Applied,2019-12-14,2020-12-14,129,455,12,1
catalyst-team/catalyst,Applied,2019-01-21,2020-01-22,1829,474,674,350
datasciencecampus/pyGrams,Applied,2019-03-24,2020-03-24,1773,580,35,0
deepfakes/faceswap,Applied,2020-01-30,2021-01-30,935,518,17,4
explosion/sense2vec,Applied,2018-09-09,2019-09-10,41,1092,3,0
fabiotosi92/monoResMatch-Tensorflow,Applied,2018-09-11,2019-09-12,37,0,48,14
font-bakers/knead,Applied,2018-07-02,2019-07-03,241,29,44,10
gbnk0/simple-image-classifier,Applied,2018-02-04,2019-02-05,87,195,10,33
hankcs/HanLP,Applied,2020-01-02,2021-01-02,12,0,0,0
intel/dffml,Tool,2020-03-06,2021-03-07,656,729,2,16
ironman5366/W.I.L.L,Applied,2016-08-14,2017-08-15,64,109,76,35
jobovy/extreme-deconvolution,Applied,2020-06-08,2021-06-09,239,1775,0,8
joeylitalien/noise2noise-pytorch,Tool,2017-08-26,2018-08-27,1,0,0,0
johannfaouzi/pyts,Applied,2018-12-06,2019-12-07,379,575,67,26
koriavinash1/DeepBrainSeg,Applied,2019-08-18,2020-08-18,13,0,0,0
lyst/lightfm,Applied,2020-03-25,2021-03-26,359,1709,12,1
maciejkula/spotlight,Applied,2019-11-16,2020-11-16,513,1236,5,3
mapbox/robosat,Applied,2019-08-28,2020-08-28,367,808,3,2
mideind/Tokenizer,Applied,2019-10-09,2020-10-09,224,541,113,0
mirapy-org/mirapy,Applied,2019-05-27,2020-05-27,21,308,0,0
mlflow/mlflow,Applied,2017-06-20,2018-06-21,141,13,94,6
molecularsets/moses,Applied,2019-10-29,2020-10-29,229,623,70,11
mozilla/bugbug,Applied,2018-04-09,2019-04-10,924,140,160,20
msmbuilder/osprey,Applied,2019-11-29,2020-11-29,228,1579,5,2
nathan-toubiana/scitime,Applied,2018-05-24,2019-05-25,45,105,3,0
neuropoly/axondeepseg,Applied,2019-11-27,2020-11-27,674,478,82,10
nrontsis/PILCO,Applied,2017-06-15,2018-06-16,10,0,0,0
pavlin-policar/openTSNE,Applied,2017-12-17,2018-12-18,299,97,36,21
plasticityai/magnitude,Applied,2019-05-26,2020-05-26,119,713,9,9
rajveermalviya/language-modeling,Applied,2018-02-17,2019-02-18,5,92,0,0
scikit-multilearn/scikit-multilearn,Applied,2019-07-01,2020-07-01,308,821,2,17
sebp/scikit-survival,Applied,2019-02-28,2020-02-29,575,1158,44,6
shenweichen/DeepCTR,Applied,2017-12-19,2018-12-20,30,2,67,73
smaegol/PlasFlow,Applied,2017-05-25,2018-05-26,11,130,0,0
thinkingmachines/geomancer,Applied,2018-03-17,2019-03-18,88,3,3,21
titu1994/keras-adabound,Applied,2018-03-11,2019-03-12,5,0,0,0
tue-robotics/image_recognition,Applied,2018-04-02,2019-04-03,511,805,80,17
uwreact/uwreact_robot,Applied,2018-08-01,2019-08-02,236,246,59,6
verifid/facereg,Applied,2018-12-07,2019-12-08,127,323,187,43
wkentaro/chainer-mask-rcnn,Applied,2018-05-15,2019-05-16,233,364,71,33
wkentaro/fcn,Applied,2018-08-28,2019-08-29,394,496,26,9
wkentaro/labelme,Applied,2018-08-28,2019-08-29,96,79,133,12
wkentaro/pytorch-fcn,Applied,2018-08-28,2019-08-29,112,749,6,10
fsx950223/mobilenetv2-yolov3,Applied,2019-04-10,2020-04-10,1,0,0,0
Ha0Tang/SelectionGAN,Applied,2018-07-25,2019-07-26,1,0,0,0
xvjiarui/GCNet,Applied,2020-02-17,2021-02-17,1,0,0,0
biolab/orange3,Tool,2019-09-09,2020-09-09,1,0,0,0
cjekel/piecewise_linear_fit_py,Applied,2019-12-06,2020-12-06,556,579,64,75
tasoc/starclass,Applied,2020-05-23,2021-05-24,411,1006,180,90
pyro-ppl/funsor,Applied,2018-05-02,2019-05-03,425,70,151,2
dbiir/UER-py,Applied,2020-06-15,2021-06-16,669,730,31,16
eyounx/ZOOpt,Applied,2019-04-07,2020-04-07,53,745,13,52
CyberZHG/keras-word-char-embd,Applied,2020-06-03,2021-06-04,172,1041,13,2
akoumjian/datefinder,Tool,2020-05-12,2021-05-13,59,1621,0,6
Erotemic/netharn,Applied,2019-10-24,2020-10-24,445,871,9,2
pandoraboxchain/pyrrha-pynode,Applied,2018-01-24,2019-01-25,110,273,34,6
arm61/pylj,Applied,2020-04-08,2021-04-09,378,1058,0,11
lopuhin/transformer-lm,Applied,2020-02-28,2021-02-28,104,710,2,2
philgooch/abbreviation-extraction,Applied,2018-12-30,2019-12-31,78,796,0,2
soaxelbrooke/python-bpe,Applied,2019-01-21,2020-01-22,74,851,13,0
jerrygaoLondon/jgtextrank,Tool,2020-06-01,2021-06-02,68,1247,0,33
rgal/gym-2048,Applied,2020-05-30,2021-05-31,303,1647,1,13
UGentBiomath/wwdata,Applied,2020-06-14,2021-06-15,503,50,0,0
