ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,BuildTotalCount,BuildFailCount,BuildErrorCount,BuildCanceledCount,BuildPassedCount
astorfi/3D-convolutional-speaker-recognition,Applied,2019-03-04,2020-03-04,42,962,3,0,2,0,0
guokr/Caver,Tool,2018-06-11,2019-06-12,91,320,91,3,2,0,85
MisaOgura/flashtorch,Tool,2020-04-27,2021-04-28,275,691,64,8,10,15,30
modAL-python/modAL,Tool,2020-03-22,2021-03-23,330,1171,54,0,39,0,14
chainer/chainercv,Tool,2019-02-03,2020-02-04,744,352,727,118,13,5,462
neuronets/nobrainer,Tool,2020-05-07,2021-05-08,472,792,282,48,1,0,230
iamDecode/sklearn-pmml-model,Tool,2020-06-05,2021-06-06,101,493,65,9,2,0,53
NVIDIA/DIGITS,Tool,2019-06-14,2020-06-14,279,1141,6,0,3,0,2
r9y9/nnmnkwii,Tool,2020-05-24,2021-05-25,476,1378,60,10,3,0,46
raviqqe/tensorflow-qnd,Tool,2018-04-19,2019-04-20,326,850,2,0,0,0,1
torchgan/torchgan,Tool,2020-03-21,2021-03-22,621,889,45,2,4,0,37
Mariewelt/OpenChem,Tool,2018-04-17,2019-04-18,16,56,0,0,0,0,0
reiinakano/scikit-plot,Tool,2020-02-27,2021-02-27,341,1471,6,0,5,0,0
onnx/onnx-tensorflow,Tool,2019-11-14,2020-11-14,479,112,403,43,12,1,324
PetrochukM/PyTorch-NLP,Tool,2020-04-08,2021-04-09,484,1135,64,33,1,0,26
clips/pattern,Tool,2020-05-29,2021-05-30,254,1454,15,5,9,0,0
Maluuba/nlg-eval,Tool,2020-06-07,2021-06-08,149,1051,28,0,5,0,22
pytorch/ignite,Tool,2019-10-28,2020-10-28,561,63,525,118,19,20,338
yxonic/fret,Tool,2019-11-26,2020-11-26,202,716,56,12,3,0,30
arthurpaulino/miraiml,Tool,2018-10-24,2019-10-25,75,38,75,4,2,0,69
fukatani/stacked_generalization,Tool,2018-05-02,2019-05-03,49,1015,20,12,0,0,5
CrowdTruth/CrowdTruth-core,Tool,2018-05-10,2019-05-11,139,269,139,3,5,0,120
cltk/cltk,Tool,2020-06-13,2021-06-14,640,834,25,0,6,0,18
kermitt2/delft,Tool,2020-06-09,2021-06-10,461,1006,25,5,2,0,16
tensorflow/cleverhans,Tool,2019-12-10,2020-12-10,328,599,62,3,3,0,55
ecohealthalliance/EpiTator,Tool,2019-05-05,2020-05-05,453,1089,48,8,0,0,39
Jopepato/SMiLE,Tool,2020-04-20,2021-04-21,113,903,2,0,0,0,1
rsokl/MyGrad,Tool,2019-12-21,2020-12-21,984,686,665,93,9,0,562
chakki-works/seqeval,Tool,2019-11-11,2020-11-11,152,526,100,0,6,0,94
alan-turing-institute/skpro,Tool,2019-04-08,2020-04-08,52,851,9,8,0,0,0
NIHOPA/NLPre,Tool,2018-11-15,2019-11-16,437,954,83,35,3,0,41
biolab/orange3-educational,Tool,2020-02-13,2021-02-13,495,1674,61,19,2,0,36
ClarityNLP/ClarityNLP,Tool,2020-06-14,2021-06-15,499,505,50,0,0,0,50
scikit-learn/scikit-learn,Tool,2019-11-04,2020-11-04,421,252,421,168,196,7,47
nielstron/quantulum3,Tool,2020-05-17,2021-05-18,799,1308,169,52,15,5,70
