file_name;TestFail;BuildError;TestError;CodeAnalysisError;TravisError;DeploymentError;RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903026.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903027.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903028.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903029.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903030.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903031.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903032.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911043.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911045.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911046.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911048.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911049.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911050.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911052.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911054.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911055.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092397.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092399.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092400.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092401.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092403.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092405.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092406.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092407.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697728.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697730.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697731.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697732.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697733.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697735.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697737.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\571697739.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\644008097.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\644008099.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\644008100.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\644008101.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\653115104.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\653115106.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\653115107.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\653115108.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\AllenInstitute_mouse_connectivity_models\job_logs\762188486.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\AllenInstitute_mouse_connectivity_models\job_logs\767211172.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\373862499.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\373862500.txt;Ml_module_not_found;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\373863666.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\373863667.txt;Ml_module_not_found;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\381299410.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\381386761.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\433918756.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\438927367.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\475705452.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520568877.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520568878.txt;Ml_module_not_found;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520572485.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520572486.txt;Ml_module_not_found;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520580089.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\520580090.txt;Ml_module_not_found;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523390210.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523390211.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523391411.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523391412.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523391762.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523391763.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523393123.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523393124.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523398280.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523398281.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399463.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399464.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399783.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399784.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399810.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523399814.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523797345.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523797346.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523797634.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523797635.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523798366.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523798372.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523800065.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alvations_pywsd\job_logs\523872188.txt;None;None;None;None;None;None;Applied
