file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,Travis Error,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528202860.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528224273.txt,[' Import problem'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528224278.txt,[' Import problem'],"[],['Test Collection Error']","[],['Test Collection Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528459406.txt,['General script Error'],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528459407.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528459410.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528459411.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528828239.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\528828451.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529272445.txt,[' Import problem'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529272449.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529275485.txt,[' Import problem'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529275489.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529279134.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529279138.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529284338.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\529284342.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530136955.txt,['General script Error'],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530136956.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530136960.txt,['General script Error'],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530136961.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530146775.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530157285.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\530250847.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\531446527.txt,['General script Error'],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\531446528.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\531446531.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\531446532.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\538581652.txt,['General script Error'],"[],[]","[],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\538581653.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\538581656.txt,[],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\538581657.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\539758323.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\539758324.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\539758328.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",['General CA Fail'],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\540501206.txt,['General script Error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\540502626.txt,['General script Error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\540622479.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\541430392.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\IDSIA_sacred\job_logs\541430393.txt,['General Test Fail'],"[],['Test Environmet Error']","[],['Test Environmet Error']",[],[],[],FALSE,Applied
