repoUrl,failCommit,passCommit,mainProblem,allProblems,problemBuildState
git://github.com/chainer/onnx-chainer.git,99faddba34d7fd46755af475ac8c109d623cf562,67954b1e4bf0f21dd0cbb738016988bd3811904f,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/chainer/onnx-chainer.git,2f9e3ff99c831f1c15ae762103c568e7a7c1ef1f,9dc20f9d1a11ccea6b1b64fbeae0092e179b68cc,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/chakki-works/chariot.git,9bb3bf76151727cddd7dbd2efef75dea2a7b5480,1a81ba1b7906d41a1fec579a22d4de6715e63a0a,TestFail,['TestFail'],failed
git://github.com/cjekel/piecewise_linear_fit_py.git,7b142117cbe1498b0ecc44439f567fd4bc6f292f,728024731e7e2a9bd78d169e3604c72230c68ddf,TestError,[ 'TestFail';  'TestFail'; 'TestError'],failed
git://github.com/cjekel/piecewise_linear_fit_py.git,55d19f23c91c49ebc933f7d9a160f0fea5ffbf85,8f974440c25cf6b57c1af50dfd4f3d5f7ab3ac73,TestFail,['TestFail'; 'TestFail'; 'TestFail'; 'TestFail'],failed
git://github.com/cjekel/piecewise_linear_fit_py.git,61bb005f5831b389f60ee929fc81589a8920e38d,cb25d3ef46f353e79d740f239b4b95ee8ae39be9,TestFail,['TestFail'; 'TestFail'],failed
git://github.com/cjekel/piecewise_linear_fit_py.git,50fe89a36c878fc410ea2c4d95af86186a69e81c,03976986ab00cf8f10d15dc2ee8099c99212009e,FailMarkedAsError,['FailMarkedAsError'],errored
git://github.com/cjekel/piecewise_linear_fit_py.git,48d8b77004d8e74c81d8c71b16a288ad2c925064,8f974440c25cf6b57c1af50dfd4f3d5f7ab3ac73,FailMarkedAsError,['FailMarkedAsError'; 'FailMarkedAsError'; 'FailMarkedAsError'; 'FailMarkedAsError'],errored
git://github.com/cjekel/tindetheus.git,b72cd0f101b1e74e29f19a18967f8a27e75bfa54,930e4220126fc27941b83d4d0d56c8df523704c3,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/cjekel/tindetheus.git,c92b4d7177b8252946f91d00eab070faccfad436,4e64f8bddd8eed704c59463bd215db01ab062173,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/cjekel/tindetheus.git,dddd20c471791f7184f37dd504648a5cc426eed7,28f978d3930f7e6a7b2d9672a3f6bf9eea30cdec,BuildDependencyError,['BuildDependencyError'; 'BuildDependencyError'; 'BuildDependencyError'],errored
git://github.com/Cloud-CV/EvalAI.git,a2df02e888488f75ce0db833a7ce09d4bb898821,f4dcccd17ff1478f49fe4852a3455239785c534f,log not found,['log not found'],failed
git://github.com/Cloud-CV/EvalAI.git,2edf08282f1af3c806491ae6279da32288ed4a74,64d1ed9878d16ef8d6fe6453815e4e52c8cff1e0,log not found,['log not found'],failed
git://github.com/Cloud-CV/EvalAI.git,295d4eeb09ca7d9d34753ab84acc5dd6de9f2c43,0d94414030898158d9a2b384526417eb2520e2bd,log not found,['log not found'],failed
git://github.com/Cloud-CV/EvalAI.git,8b4ec36ee92dd58cd5464d7fc8bc4b432551e87b,906d0e87a5b97378a8da322cf02b3722cdddfe0c,log not found,['log not found'],failed
git://github.com/Cloud-CV/EvalAI.git,05b07ef0905f797c2d0e3df65225948839f6cbe3,5698781b99e3fcea100430a2ef85322c0f0545db,log not found,['log not found'],errored
git://github.com/clusterking/clusterking.git,ce9a937e0548b17d443d67d45bc2fd715ea48de7,887f75bf18efcf269ca243abe84df947eec7ac9f,TestError,['TestError'],failed
git://github.com/computationalmodelling/nbval.git,6bf2b4c49d38cf92479c2084247f29d5ca131f81,42538cfeb7c88c3ce3fcce9a4f837b8a6f3f22bc,TestError,[ 'TestFail';  'TestFail';  'TestFail'; 'TestError'],failed
git://github.com/computationalmodelling/nbval.git,156223183d7dcc91176815c99b847ddcf1785ae1,368d438932e11dda9def60b2347c5e58dd8b9a70,TestFail,['TestFail'; 'TestFail'; 'TestFail'; 'TestFail'],failed
