ProjectName,Build Tools,CI tools,Deployment Automation,Monitoring and Logging,Analyzer,Test
lium-lst/nmtpytorch,1,0,0,0,0,0
liuxiaodong008008/Matrix2,0,0,0,0,0,0
liuxiaodong008008/MatrixLib,0,0,0,0,0,0
liuxiaodong008008/numopt3,0,0,0,0,0,0
liuzl/ling,0,0,0,0,0,0
lixinsu/RCZoo,0,0,0,0,0,0
ljvmiranda921/pyswarms,1,0,0,0,1,1
loginn/ngrams_graphs,0,0,0,0,0,0
logpai/loglizer,0,0,0,0,0,0
lozuwa/impy,0,0,0,0,0,0
lucasrodes/whatstk,1,1,0,0,1,1
luxkun/ReGoap,0,0,0,0,0,0
lzfelix/minuet,0,0,0,0,0,0
m09/syllable-counter,1,0,0,0,0,0
machinelearnjs/machinelearnjs,0,1,1,0,0,0
majianjia/nnom,0,1,0,0,0,0
manuwhs/Trapyng,0,0,0,0,0,0
martinRenou/Odysis,1,0,0,0,0,0
marty1885/tiny-htm,0,0,0,0,0,0
masatoi/cl-random-forest,0,0,0,0,0,0
materialsvirtuallab/megnet,1,0,0,0,1,0
mathetake/gann,0,0,0,0,0,0
mdbloice/Augmentor,1,1,0,0,0,0
medtagger/MedTagger,1,1,1,0,1,0
menpo/menpo,1,1,0,0,1,1
mercury-ml-team/mercury-ml,0,0,0,0,0,0
meshula/OpenSteer,1,1,0,0,0,1
metric-learn/metric-learn,1,1,0,0,1,0
mhjort/aivo,0,0,0,0,0,0
michhar/custom-jupyterhub-linux-vm,0,0,0,0,0,0
microsoft/CNTK,1,0,1,0,1,1
microsoft/CameraTraps,0,0,1,0,1,0
microsoft/ConversationLearner-Models,0,1,0,0,1,0
microsoft/DMTK,0,0,0,0,0,0
microsoft/LightGBM,1,1,0,0,0,1
microsoft/MMdnn,1,1,0,0,0,0
microsoft/NeuronBlocks,0,0,0,0,0,0
microsoft/NimbusML,1,1,1,0,0,0
microsoft/Recognizers-Text,1,1,1,0,1,1
microsoft/dowhy,1,0,0,0,0,0
microsoft/nni,1,0,1,0,1,0
microsoft/onnxconverter-common,1,0,0,0,1,0
microsoft/tensorwatch,0,0,0,0,1,0
mideind/Icegrams,0,1,0,0,0,0
milesgranger/pyrus-nn,1,0,0,0,0,0
mit-nlp/MITIE,1,0,0,0,0,0
mljs/matrix,0,0,0,0,0,0
mlpack/ensmallen,1,1,0,0,0,0
mlpack/mlpack,1,1,0,0,1,1
mlr-org/mlr,0,0,0,0,0,1
mne-tools/mne-cpp,1,0,0,0,1,0
modAL-python/modAL,1,1,0,0,0,0
modelhub-ai/modelhub-engine,1,1,0,0,0,0
modern-fortran/neural-fortran,0,1,0,0,0,0
montanaflynn/stats,1,1,0,0,0,0
montefiore-ai/hypothesis,1,0,0,0,0,0
morinim/vita,0,1,0,0,0,0
mratsim/Arraymancer,0,1,0,0,0,0
mravanelli/pytorch-kaldi,0,0,0,0,0,0
